NLP_Query,SQL_Query,Recommended_Visualization
What is the average ssc of students?,SELECT AVG(ssc) FROM df;,Line
What is the average diploma of students?,SELECT AVG(diploma) FROM df;,Line
How is gpa distributed among students?,"SELECT gpa, COUNT(*) FROM df GROUP BY gpa;",Pie
Which student has the highest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma DESC LIMIT 1;",Bar
How is diploma distributed among students?,"SELECT diploma, COUNT(*) FROM df GROUP BY diploma;",Scatter
Which student has the highest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma DESC LIMIT 1;",Bar
What is the average sem of students?,SELECT AVG(sem) FROM df;,Bar
What is the average hsc of students?,SELECT AVG(hsc) FROM df;,Line
What is the average gpa of students?,SELECT AVG(gpa) FROM df;,Bar
Which student has the highest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma DESC LIMIT 1;",Bar
Which student has the lowest cet?,"SELECT Name, cet FROM df ORDER BY cet ASC LIMIT 1;",Bar
How is gpa distributed among students?,"SELECT gpa, COUNT(*) FROM df GROUP BY gpa;",Pie
How is gpa distributed among students?,"SELECT gpa, COUNT(*) FROM df GROUP BY gpa;",Pie
Which student has the lowest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc ASC LIMIT 1;",Bar
Which student has the highest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc DESC LIMIT 1;",Bar
What is the average sem of students?,SELECT AVG(sem) FROM df;,Bar
Which student has the highest gpa?,"SELECT Name, gpa FROM df ORDER BY gpa DESC LIMIT 1;",Bar
What is the average sem of students?,SELECT AVG(sem) FROM df;,Bar
How is sem distributed among students?,"SELECT sem, COUNT(*) FROM df GROUP BY sem;",Pie
Which student has the lowest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma ASC LIMIT 1;",Bar
What is the average cet of students?,SELECT AVG(cet) FROM df;,Line
How is cet distributed among students?,"SELECT cet, COUNT(*) FROM df GROUP BY cet;",Scatter
What is the average hsc of students?,SELECT AVG(hsc) FROM df;,Line
How is cet distributed among students?,"SELECT cet, COUNT(*) FROM df GROUP BY cet;",Scatter
Which student has the lowest cet?,"SELECT Name, cet FROM df ORDER BY cet ASC LIMIT 1;",Bar
What is the average cet of students?,SELECT AVG(cet) FROM df;,Line
How is hsc distributed among students?,"SELECT hsc, COUNT(*) FROM df GROUP BY hsc;",Scatter
Which student has the highest sem?,"SELECT Name, sem FROM df ORDER BY sem DESC LIMIT 1;",Bar
Which student has the lowest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc ASC LIMIT 1;",Bar
Which student has the lowest cet?,"SELECT Name, cet FROM df ORDER BY cet ASC LIMIT 1;",Bar
Which student has the lowest gpa?,"SELECT Name, gpa FROM df ORDER BY gpa ASC LIMIT 1;",Bar
What is the average hsc of students?,SELECT AVG(hsc) FROM df;,Line
What is the average sem of students?,SELECT AVG(sem) FROM df;,Bar
How is cet distributed among students?,"SELECT cet, COUNT(*) FROM df GROUP BY cet;",Scatter
Which student has the highest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma DESC LIMIT 1;",Bar
Which student has the highest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma DESC LIMIT 1;",Bar
Which student has the highest sem?,"SELECT Name, sem FROM df ORDER BY sem DESC LIMIT 1;",Bar
Which student has the lowest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc ASC LIMIT 1;",Bar
Which student has the highest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma DESC LIMIT 1;",Bar
What is the average diploma of students?,SELECT AVG(diploma) FROM df;,Line
How is hsc distributed among students?,"SELECT hsc, COUNT(*) FROM df GROUP BY hsc;",Scatter
What is the average ssc of students?,SELECT AVG(ssc) FROM df;,Line
Which student has the highest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc DESC LIMIT 1;",Bar
Which student has the highest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc DESC LIMIT 1;",Bar
What is the average hsc of students?,SELECT AVG(hsc) FROM df;,Line
How is gpa distributed among students?,"SELECT gpa, COUNT(*) FROM df GROUP BY gpa;",Pie
Which student has the highest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma DESC LIMIT 1;",Bar
How is sem distributed among students?,"SELECT sem, COUNT(*) FROM df GROUP BY sem;",Pie
Which student has the highest sem?,"SELECT Name, sem FROM df ORDER BY sem DESC LIMIT 1;",Bar
What is the average gpa of students?,SELECT AVG(gpa) FROM df;,Bar
Which student has the lowest sem?,"SELECT Name, sem FROM df ORDER BY sem ASC LIMIT 1;",Bar
How is cet distributed among students?,"SELECT cet, COUNT(*) FROM df GROUP BY cet;",Scatter
How is hsc distributed among students?,"SELECT hsc, COUNT(*) FROM df GROUP BY hsc;",Scatter
Which student has the highest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc DESC LIMIT 1;",Bar
Which student has the lowest sem?,"SELECT Name, sem FROM df ORDER BY sem ASC LIMIT 1;",Bar
How is diploma distributed among students?,"SELECT diploma, COUNT(*) FROM df GROUP BY diploma;",Scatter
Which student has the lowest sem?,"SELECT Name, sem FROM df ORDER BY sem ASC LIMIT 1;",Bar
Which student has the lowest cet?,"SELECT Name, cet FROM df ORDER BY cet ASC LIMIT 1;",Bar
Which student has the lowest cet?,"SELECT Name, cet FROM df ORDER BY cet ASC LIMIT 1;",Bar
Which student has the lowest gpa?,"SELECT Name, gpa FROM df ORDER BY gpa ASC LIMIT 1;",Bar
Which student has the lowest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma ASC LIMIT 1;",Bar
How is hsc distributed among students?,"SELECT hsc, COUNT(*) FROM df GROUP BY hsc;",Scatter
Which student has the highest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc DESC LIMIT 1;",Bar
What is the average ssc of students?,SELECT AVG(ssc) FROM df;,Line
What is the average hsc of students?,SELECT AVG(hsc) FROM df;,Line
Which student has the highest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc DESC LIMIT 1;",Bar
Which student has the lowest gpa?,"SELECT Name, gpa FROM df ORDER BY gpa ASC LIMIT 1;",Bar
What is the average cet of students?,SELECT AVG(cet) FROM df;,Line
How is diploma distributed among students?,"SELECT diploma, COUNT(*) FROM df GROUP BY diploma;",Scatter
Which student has the highest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc DESC LIMIT 1;",Bar
What is the average diploma of students?,SELECT AVG(diploma) FROM df;,Line
How is hsc distributed among students?,"SELECT hsc, COUNT(*) FROM df GROUP BY hsc;",Scatter
Which student has the lowest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc ASC LIMIT 1;",Bar
Which student has the highest sem?,"SELECT Name, sem FROM df ORDER BY sem DESC LIMIT 1;",Bar
What is the average hsc of students?,SELECT AVG(hsc) FROM df;,Line
What is the average ssc of students?,SELECT AVG(ssc) FROM df;,Line
Which student has the highest sem?,"SELECT Name, sem FROM df ORDER BY sem DESC LIMIT 1;",Bar
How is diploma distributed among students?,"SELECT diploma, COUNT(*) FROM df GROUP BY diploma;",Scatter
What is the average diploma of students?,SELECT AVG(diploma) FROM df;,Line
Which student has the highest sem?,"SELECT Name, sem FROM df ORDER BY sem DESC LIMIT 1;",Bar
How is cet distributed among students?,"SELECT cet, COUNT(*) FROM df GROUP BY cet;",Scatter
Which student has the highest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc DESC LIMIT 1;",Bar
How is diploma distributed among students?,"SELECT diploma, COUNT(*) FROM df GROUP BY diploma;",Scatter
How is diploma distributed among students?,"SELECT diploma, COUNT(*) FROM df GROUP BY diploma;",Scatter
Which student has the lowest sem?,"SELECT Name, sem FROM df ORDER BY sem ASC LIMIT 1;",Bar
Which student has the lowest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc ASC LIMIT 1;",Bar
What is the average diploma of students?,SELECT AVG(diploma) FROM df;,Line
Which student has the highest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc DESC LIMIT 1;",Bar
Which student has the highest gpa?,"SELECT Name, gpa FROM df ORDER BY gpa DESC LIMIT 1;",Bar
Which student has the lowest sem?,"SELECT Name, sem FROM df ORDER BY sem ASC LIMIT 1;",Bar
How is sem distributed among students?,"SELECT sem, COUNT(*) FROM df GROUP BY sem;",Pie
Which student has the highest gpa?,"SELECT Name, gpa FROM df ORDER BY gpa DESC LIMIT 1;",Bar
How is hsc distributed among students?,"SELECT hsc, COUNT(*) FROM df GROUP BY hsc;",Scatter
Which student has the lowest cet?,"SELECT Name, cet FROM df ORDER BY cet ASC LIMIT 1;",Bar
Which student has the lowest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc ASC LIMIT 1;",Bar
Which student has the highest cet?,"SELECT Name, cet FROM df ORDER BY cet DESC LIMIT 1;",Bar
Which student has the lowest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc ASC LIMIT 1;",Bar
Which student has the lowest sem?,"SELECT Name, sem FROM df ORDER BY sem ASC LIMIT 1;",Bar
What is the average ssc of students?,SELECT AVG(ssc) FROM df;,Line
What is the average sem of students?,SELECT AVG(sem) FROM df;,Bar
Which student has the lowest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc ASC LIMIT 1;",Bar
How is sem distributed among students?,"SELECT sem, COUNT(*) FROM df GROUP BY sem;",Pie
Which student has the lowest cet?,"SELECT Name, cet FROM df ORDER BY cet ASC LIMIT 1;",Bar
Which student has the lowest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc ASC LIMIT 1;",Bar
How is ssc distributed among students?,"SELECT ssc, COUNT(*) FROM df GROUP BY ssc;",Scatter
Which student has the highest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc DESC LIMIT 1;",Bar
What is the average hsc of students?,SELECT AVG(hsc) FROM df;,Line
Which student has the lowest cet?,"SELECT Name, cet FROM df ORDER BY cet ASC LIMIT 1;",Bar
How is cet distributed among students?,"SELECT cet, COUNT(*) FROM df GROUP BY cet;",Scatter
Which student has the highest gpa?,"SELECT Name, gpa FROM df ORDER BY gpa DESC LIMIT 1;",Bar
Which student has the highest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma DESC LIMIT 1;",Bar
What is the average hsc of students?,SELECT AVG(hsc) FROM df;,Line
Which student has the lowest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma ASC LIMIT 1;",Bar
Which student has the highest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc DESC LIMIT 1;",Bar
Which student has the highest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma DESC LIMIT 1;",Bar
How is diploma distributed among students?,"SELECT diploma, COUNT(*) FROM df GROUP BY diploma;",Scatter
Which student has the lowest gpa?,"SELECT Name, gpa FROM df ORDER BY gpa ASC LIMIT 1;",Bar
What is the average hsc of students?,SELECT AVG(hsc) FROM df;,Line
What is the average gpa of students?,SELECT AVG(gpa) FROM df;,Bar
What is the average hsc of students?,SELECT AVG(hsc) FROM df;,Line
What is the average sem of students?,SELECT AVG(sem) FROM df;,Bar
Which student has the lowest sem?,"SELECT Name, sem FROM df ORDER BY sem ASC LIMIT 1;",Bar
How is diploma distributed among students?,"SELECT diploma, COUNT(*) FROM df GROUP BY diploma;",Scatter
Which student has the highest cet?,"SELECT Name, cet FROM df ORDER BY cet DESC LIMIT 1;",Bar
What is the average ssc of students?,SELECT AVG(ssc) FROM df;,Line
Which student has the lowest gpa?,"SELECT Name, gpa FROM df ORDER BY gpa ASC LIMIT 1;",Bar
What is the average diploma of students?,SELECT AVG(diploma) FROM df;,Line
What is the average hsc of students?,SELECT AVG(hsc) FROM df;,Line
Which student has the highest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc DESC LIMIT 1;",Bar
Which student has the lowest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma ASC LIMIT 1;",Bar
Which student has the highest sem?,"SELECT Name, sem FROM df ORDER BY sem DESC LIMIT 1;",Bar
How is hsc distributed among students?,"SELECT hsc, COUNT(*) FROM df GROUP BY hsc;",Scatter
Which student has the highest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma DESC LIMIT 1;",Bar
How is hsc distributed among students?,"SELECT hsc, COUNT(*) FROM df GROUP BY hsc;",Scatter
How is hsc distributed among students?,"SELECT hsc, COUNT(*) FROM df GROUP BY hsc;",Scatter
How is diploma distributed among students?,"SELECT diploma, COUNT(*) FROM df GROUP BY diploma;",Scatter
How is ssc distributed among students?,"SELECT ssc, COUNT(*) FROM df GROUP BY ssc;",Scatter
Which student has the lowest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc ASC LIMIT 1;",Bar
Which student has the lowest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc ASC LIMIT 1;",Bar
Which student has the lowest cet?,"SELECT Name, cet FROM df ORDER BY cet ASC LIMIT 1;",Bar
Which student has the highest sem?,"SELECT Name, sem FROM df ORDER BY sem DESC LIMIT 1;",Bar
Which student has the lowest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc ASC LIMIT 1;",Bar
How is sem distributed among students?,"SELECT sem, COUNT(*) FROM df GROUP BY sem;",Pie
What is the average cet of students?,SELECT AVG(cet) FROM df;,Line
How is diploma distributed among students?,"SELECT diploma, COUNT(*) FROM df GROUP BY diploma;",Scatter
How is gpa distributed among students?,"SELECT gpa, COUNT(*) FROM df GROUP BY gpa;",Pie
Which student has the highest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc DESC LIMIT 1;",Bar
Which student has the highest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma DESC LIMIT 1;",Bar
What is the average hsc of students?,SELECT AVG(hsc) FROM df;,Line
Which student has the lowest cet?,"SELECT Name, cet FROM df ORDER BY cet ASC LIMIT 1;",Bar
Which student has the lowest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma ASC LIMIT 1;",Bar
What is the average cet of students?,SELECT AVG(cet) FROM df;,Line
Which student has the lowest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc ASC LIMIT 1;",Bar
How is hsc distributed among students?,"SELECT hsc, COUNT(*) FROM df GROUP BY hsc;",Scatter
Which student has the highest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma DESC LIMIT 1;",Bar
How is ssc distributed among students?,"SELECT ssc, COUNT(*) FROM df GROUP BY ssc;",Scatter
Which student has the highest cet?,"SELECT Name, cet FROM df ORDER BY cet DESC LIMIT 1;",Bar
How is cet distributed among students?,"SELECT cet, COUNT(*) FROM df GROUP BY cet;",Scatter
Which student has the highest sem?,"SELECT Name, sem FROM df ORDER BY sem DESC LIMIT 1;",Bar
How is cet distributed among students?,"SELECT cet, COUNT(*) FROM df GROUP BY cet;",Scatter
Which student has the lowest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc ASC LIMIT 1;",Bar
How is diploma distributed among students?,"SELECT diploma, COUNT(*) FROM df GROUP BY diploma;",Scatter
What is the average cet of students?,SELECT AVG(cet) FROM df;,Line
How is hsc distributed among students?,"SELECT hsc, COUNT(*) FROM df GROUP BY hsc;",Scatter
How is gpa distributed among students?,"SELECT gpa, COUNT(*) FROM df GROUP BY gpa;",Pie
What is the average hsc of students?,SELECT AVG(hsc) FROM df;,Line
Which student has the highest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc DESC LIMIT 1;",Bar
Which student has the lowest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc ASC LIMIT 1;",Bar
Which student has the lowest gpa?,"SELECT Name, gpa FROM df ORDER BY gpa ASC LIMIT 1;",Bar
What is the average sem of students?,SELECT AVG(sem) FROM df;,Bar
Which student has the lowest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc ASC LIMIT 1;",Bar
What is the average cet of students?,SELECT AVG(cet) FROM df;,Line
What is the average cet of students?,SELECT AVG(cet) FROM df;,Line
What is the average gpa of students?,SELECT AVG(gpa) FROM df;,Bar
What is the average ssc of students?,SELECT AVG(ssc) FROM df;,Line
How is hsc distributed among students?,"SELECT hsc, COUNT(*) FROM df GROUP BY hsc;",Scatter
Which student has the lowest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma ASC LIMIT 1;",Bar
Which student has the highest sem?,"SELECT Name, sem FROM df ORDER BY sem DESC LIMIT 1;",Bar
What is the average ssc of students?,SELECT AVG(ssc) FROM df;,Line
How is cet distributed among students?,"SELECT cet, COUNT(*) FROM df GROUP BY cet;",Scatter
How is hsc distributed among students?,"SELECT hsc, COUNT(*) FROM df GROUP BY hsc;",Scatter
What is the average gpa of students?,SELECT AVG(gpa) FROM df;,Bar
Which student has the highest ssc?,"SELECT Name, ssc FROM df ORDER BY ssc DESC LIMIT 1;",Bar
What is the average hsc of students?,SELECT AVG(hsc) FROM df;,Line
Which student has the lowest cet?,"SELECT Name, cet FROM df ORDER BY cet ASC LIMIT 1;",Bar
Which student has the highest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc DESC LIMIT 1;",Bar
What is the average ssc of students?,SELECT AVG(ssc) FROM df;,Line
Which student has the lowest gpa?,"SELECT Name, gpa FROM df ORDER BY gpa ASC LIMIT 1;",Bar
Which student has the lowest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc ASC LIMIT 1;",Bar
What is the average gpa of students?,SELECT AVG(gpa) FROM df;,Bar
Which student has the lowest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma ASC LIMIT 1;",Bar
Which student has the highest gpa?,"SELECT Name, gpa FROM df ORDER BY gpa DESC LIMIT 1;",Bar
What is the average gpa of students?,SELECT AVG(gpa) FROM df;,Bar
Which student has the highest cet?,"SELECT Name, cet FROM df ORDER BY cet DESC LIMIT 1;",Bar
Which student has the highest gpa?,"SELECT Name, gpa FROM df ORDER BY gpa DESC LIMIT 1;",Bar
Which student has the lowest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma ASC LIMIT 1;",Bar
Which student has the lowest sem?,"SELECT Name, sem FROM df ORDER BY sem ASC LIMIT 1;",Bar
How is gpa distributed among students?,"SELECT gpa, COUNT(*) FROM df GROUP BY gpa;",Pie
How is diploma distributed among students?,"SELECT diploma, COUNT(*) FROM df GROUP BY diploma;",Scatter
What is the average gpa of students?,SELECT AVG(gpa) FROM df;,Bar
What is the average sem of students?,SELECT AVG(sem) FROM df;,Bar
How is sem distributed among students?,"SELECT sem, COUNT(*) FROM df GROUP BY sem;",Pie
Which student has the lowest hsc?,"SELECT Name, hsc FROM df ORDER BY hsc ASC LIMIT 1;",Bar
What is the average diploma of students?,SELECT AVG(diploma) FROM df;,Line
Which student has the highest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma DESC LIMIT 1;",Bar
What is the average ssc of students?,SELECT AVG(ssc) FROM df;,Line
What is the average gpa of students?,SELECT AVG(gpa) FROM df;,Bar
How is cet distributed among students?,"SELECT cet, COUNT(*) FROM df GROUP BY cet;",Scatter
What is the average sem of students?,SELECT AVG(sem) FROM df;,Bar
Which student has the lowest cet?,"SELECT Name, cet FROM df ORDER BY cet ASC LIMIT 1;",Bar
Which student has the highest sem?,"SELECT Name, sem FROM df ORDER BY sem DESC LIMIT 1;",Bar
Which student has the highest diploma?,"SELECT Name, diploma FROM df ORDER BY diploma DESC LIMIT 1;",Bar
